Peak Number,Peak Index,Peak Value
1,1,24.75
2,4,25.72
3,8,31.06
4,139,3.4299999999999997
5,169,1.9899999999999984
6,173,1.879999999999999
7,182,1.6499999999999986
8,184,1.629999999999999
9,190,1.4499999999999993
10,193,1.3900000000000006
11,199,1.2799999999999976
12,206,1.1899999999999977
13,208,1.1699999999999982
14,233,0.46999999999999886
15,237,0.4499999999999993
16,243,0.41999999999999815
17,245,0.41999999999999815
18,247,0.379999999999999
19,251,0.35999999999999943
20,255,0.33999999999999986
21,260,0.3200000000000003
22,266,0.34999999999999787
23,275,0.5399999999999991
24,280,0.4499999999999993
25,350,191.81
26,394,53.879999999999995
27,454,154.04999999999998
28,574,111.74
29,763,0.6899999999999977
30,841,3.66
31,845,3.669999999999998
32,900,0.23000000000000043
33,905,0.2099999999999973
34,908,0.2099999999999973
35,910,0.259999999999998
36,913,0.23999999999999844
37,918,0.14000000000000057
38,925,0.18999999999999773
