ml,mAU
0.00,0.13
0.03,-0.02
0.06,0.05
0.10,-2.22
0.13,-2.60
0.16,-2.38
0.19,-1.94
0.23,-1.33
0.26,-0.77
0.29,1.75
0.32,4.26
0.36,4.12
0.39,3.72
0.42,3.21
0.45,2.83
0.49,2.59
0.52,2.32
0.55,2.04
0.58,1.82
0.62,1.58
0.65,1.44
0.68,1.27
0.71,1.16
0.75,1.04
0.78,0.92
0.81,0.81
0.84,0.73
0.88,0.66
0.91,0.59
0.94,0.53
0.97,0.45
1.01,0.41
1.04,0.33
1.07,0.34
1.10,0.31
1.14,0.26
1.17,0.22
1.20,0.19
1.23,0.16
1.27,0.14
1.30,0.14
1.33,0.12
1.36,0.08
1.40,0.07
1.43,0.05
1.46,0.04
1.49,0.01
1.53,0.00
1.56,-0.04
1.59,-0.04
1.62,-0.03
1.66,-0.06
1.69,-0.10
1.72,-0.10
1.75,-0.12
1.79,-0.12
1.82,-0.13
1.85,-0.17
1.88,-0.14
1.92,-0.14
1.95,-0.19
1.98,-0.18
2.01,-0.18
2.05,-0.22
2.08,-0.22
2.11,-0.20
2.14,-0.20
2.18,-0.21
2.21,-0.21
2.24,-0.26
2.27,-0.22
2.31,-0.24
2.34,-0.25
2.37,-0.25
2.40,-0.25
2.44,-0.25
2.47,-0.26
2.50,-0.24
2.53,-0.26
2.57,-0.28
2.60,-0.26
2.63,-0.28
2.66,-0.29
2.69,-0.26
2.73,-0.29
2.76,-0.26
2.79,-0.29
2.82,-0.30
2.86,-0.28
2.89,-0.29
2.92,-0.29
2.95,-0.28
2.99,-0.31
3.02,-0.29
3.05,-0.28
3.08,-0.30
3.12,-0.27
3.15,-0.30
3.18,-0.29
3.21,-0.26
3.25,-0.26
3.28,-0.25
3.31,-0.26
3.34,-0.23
3.38,-0.25
3.41,-0.22
3.44,-0.23
3.47,-0.22
3.51,-0.21
3.54,-0.22
3.57,-0.19
3.60,-0.19
3.64,-0.19
3.67,-0.19
3.70,-0.17
3.73,-0.17
3.77,-0.16
3.80,-0.17
3.83,-0.13
3.86,-0.13
3.90,-0.10
3.93,-0.11
3.96,-0.09
3.99,-0.09
4.03,-0.12
