ml,mAU
0.00,0.26
0.13,0.37
0.27,0.00
0.40,-0.55
0.53,1.34
0.67,0.92
0.80,2.20
0.93,5.51
1.07,6.68
1.20,6.36
1.33,5.42
1.47,4.59
1.60,3.88
1.73,2.98
1.87,2.35
2.00,1.73
2.13,1.12
2.27,0.45
2.40,-0.06
2.53,-0.68
2.67,-1.17
2.80,-1.73
2.93,-2.26
3.07,-2.74
3.20,-3.25
3.33,-3.73
3.47,-4.20
3.60,-4.73
3.73,-5.11
3.87,-5.57
4.00,-5.95
4.13,-6.40
4.27,-6.70
4.40,-7.12
4.53,-7.46
4.67,-7.75
4.80,-8.17
4.93,-8.44
5.07,-8.76
5.20,-9.02
5.33,-9.30
5.47,-9.65
5.60,-9.91
5.73,-10.13
5.87,-10.38
6.00,-10.59
6.13,-10.86
6.26,-11.11
6.40,-11.28
6.53,-11.56
6.66,-11.76
6.80,-11.94
6.93,-12.14
7.06,-12.34
7.20,-12.57
7.33,-12.75
7.46,-12.91
7.60,-13.11
7.73,-13.25
7.86,-13.44
8.00,-13.61
8.13,-13.81
8.26,-13.93
8.40,-14.13
8.53,-14.19
8.66,-14.42
8.80,-14.54
8.93,-14.69
9.06,-14.84
9.20,-14.96
9.33,-15.08
9.46,-15.27
9.60,-15.37
9.73,-15.50
9.86,-15.62
10.00,-15.77
10.13,-15.90
10.26,-15.99
10.40,-16.11
10.53,-16.20
10.66,-16.29
10.80,-16.41
10.93,-16.49
11.06,-16.63
11.20,-16.79
11.33,-16.87
11.46,-17.00
11.60,-17.15
11.73,-17.25
11.86,-17.41
12.00,-17.55
12.13,-17.65
12.26,-17.74
12.40,-17.83
12.53,-17.96
12.66,-18.07
12.80,-18.16
12.93,-18.26
13.06,-18.35
13.20,-18.47
13.33,-18.57
13.46,-18.69
13.60,-18.77
13.73,-18.87
13.86,-18.98
14.00,-19.08
14.13,-19.15
14.26,-19.17
14.40,-19.20
14.53,-19.34
14.66,-19.38
14.80,-19.47
14.93,-19.56
15.06,-19.58
15.20,-19.63
15.33,-19.68
15.46,-19.78
15.60,-19.82
15.73,-19.91
15.86,-19.95
16.00,-20.01
16.13,-20.08
16.26,-20.14
16.40,-20.21
16.53,-20.26
16.66,-20.30
16.80,-20.39
16.93,-20.43
17.06,-20.48
17.20,-20.49
17.33,-20.56
17.46,-20.62
17.60,-20.65
17.73,-20.70
17.86,-20.76
18.00,-20.80
18.13,-20.84
18.26,-20.87
18.40,-20.96
18.53,-20.95
18.66,-21.00
18.79,-21.02
18.93,-21.07
19.06,-21.08
19.19,-21.16
19.33,-21.17
19.46,-21.20
19.59,-21.25
19.73,-21.28
19.86,-21.37
19.99,-21.43
20.13,-21.53
20.26,-21.60
20.39,-21.66
20.53,-21.72
20.66,-21.79
20.79,-21.81
20.93,-21.84
21.06,-21.90
21.19,-21.96
21.33,-22.01
21.46,-22.05
21.59,-22.11
21.73,-22.18
21.86,-22.20
21.99,-22.26
22.13,-22.27
22.26,-22.35
22.39,-22.40
22.53,-22.39
22.66,-22.45
22.79,-22.46
22.93,-22.52
23.06,-22.50
23.19,-22.53
23.33,-22.57
23.46,-22.60
23.59,-22.63
23.73,-22.64
23.86,-22.69
23.99,-22.70
